year,month,tmax,tmin,af,rain,sun,station,DATE
1942.0,1.0,5.8,2.1,,114.0,58.0,aberporth,1942-01-01
1942.0,2.0,4.2,-0.6,,13.8,80.3,aberporth,1942-02-01
1942.0,3.0,9.7,3.7,,58.0,117.9,aberporth,1942-03-01
1942.0,4.0,13.1,5.3,,42.5,200.1,aberporth,1942-04-01
1942.0,5.0,14.0,6.9,,101.1,215.1,aberporth,1942-05-01
1942.0,6.0,16.2,9.9,,2.3,269.3,aberporth,1942-06-01
1942.0,7.0,17.4,11.3,,70.2,185.0,aberporth,1942-07-01
1942.0,8.0,18.7,12.3,,78.5,141.9,aberporth,1942-08-01
1942.0,9.0,16.4,10.7,,146.8,129.1,aberporth,1942-09-01
1942.0,10.0,13.1,8.2,,131.1,82.1,aberporth,1942-10-01
1942.0,11.0,9.2,4.6,,19.8,62.9,aberporth,1942-11-01
1942.0,12.0,9.6,6.2,,183.9,31.4,aberporth,1942-12-01
1943.0,1.0,8.2,3.5,,176.7,41.4,aberporth,1943-01-01
1943.0,2.0,8.9,4.6,,65.4,68.6,aberporth,1943-02-01
1943.0,3.0,10.2,4.1,,21.0,156.2,aberporth,1943-03-01
1943.0,4.0,13.0,6.8,,39.4,178.3,aberporth,1943-04-01
1943.0,5.0,14.1,7.4,,83.5,233.3,aberporth,1943-05-01
1943.0,6.0,15.9,9.8,,58.7,223.8,aberporth,1943-06-01
1943.0,7.0,18.6,11.7,,57.3,240.5,aberporth,1943-07-01
1943.0,8.0,18.1,12.0,,86.5,148.0,aberporth,1943-08-01
1943.0,9.0,15.8,10.0,,127.1,110.6,aberporth,1943-09-01
1943.0,10.0,13.6,8.3,,120.3,93.7,aberporth,1943-10-01
1943.0,11.0,9.7,5.9,,93.0,47.4,aberporth,1943-11-01
1943.0,12.0,6.9,2.7,,63.6,75.3,aberporth,1943-12-01
1944.0,1.0,9.2,5.8,,87.9,23.7,aberporth,1944-01-01
1944.0,2.0,6.5,3.1,,34.0,72.5,aberporth,1944-02-01
1944.0,3.0,8.6,3.1,,17.0,153.2,aberporth,1944-03-01
1944.0,4.0,12.7,6.6,,44.9,157.1,aberporth,1944-04-01
1944.0,5.0,13.8,7.0,,37.2,242.3,aberporth,1944-05-01
1944.0,6.0,15.4,9.9,,53.2,182.2,aberporth,1944-06-01
1944.0,7.0,18.2,12.6,,54.5,112.7,aberporth,1944-07-01
1944.0,8.0,19.7,12.8,,100.2,220.9,aberporth,1944-08-01
1944.0,9.0,15.7,10.3,,80.7,132.7,aberporth,1944-09-01
1944.0,10.0,12.1,7.8,,131.9,91.0,aberporth,1944-10-01
1944.0,11.0,9.5,5.8,,156.2,28.9,aberporth,1944-11-01
1944.0,12.0,7.7,4.3,,71.9,58.5,aberporth,1944-12-01
1945.0,1.0,4.5,1.3,,58.8,58.1,aberporth,1945-01-01
1945.0,2.0,9.6,5.1,,110.7,80.4,aberporth,1945-02-01
1945.0,3.0,10.4,5.2,,34.3,124.1,aberporth,1945-03-01
1945.0,4.0,13.3,6.6,,55.1,205.1,aberporth,1945-04-01
1945.0,5.0,14.3,8.3,,82.8,166.3,aberporth,1945-05-01
1945.0,6.0,16.5,10.2,,68.5,193.7,aberporth,1945-06-01
1945.0,7.0,17.4,12.2,,130.6,130.0,aberporth,1945-07-01
1945.0,8.0,18.1,11.9,,41.9,164.2,aberporth,1945-08-01
1945.0,9.0,17.1,11.3,,61.2,101.0,aberporth,1945-09-01
1945.0,10.0,15.2,9.1,,66.9,117.5,aberporth,1945-10-01
1945.0,11.0,10.7,5.6,,34.7,78.4,aberporth,1945-11-01
1945.0,12.0,8.9,5.1,,116.2,36.1,aberporth,1945-12-01
1946.0,1.0,6.9,2.2,,138.0,67.6,aberporth,1946-01-01
1946.0,2.0,8.2,4.9,,78.6,53.0,aberporth,1946-02-01
1946.0,3.0,8.7,2.6,,28.9,146.9,aberporth,1946-03-01
1946.0,4.0,12.8,6.3,,30.9,192.2,aberporth,1946-04-01
1946.0,5.0,14.1,6.7,,59.3,236.5,aberporth,1946-05-01
1946.0,6.0,14.6,8.8,,79.4,197.5,aberporth,1946-06-01
1946.0,7.0,17.1,11.2,,62.6,186.8,aberporth,1946-07-01
1946.0,8.0,16.3,11.0,,121.6,159.9,aberporth,1946-08-01
1946.0,9.0,16.3,11.3,,103.1,105.7,aberporth,1946-09-01
1946.0,12.0,7.2,3.1,,106.6,56.7,aberporth,1946-12-01
1947.0,1.0,5.8,1.4,,122.9,78.0,aberporth,1947-01-01
1947.0,5.0,13.9,8.0,,99.1,201.2,aberporth,1947-05-01
1947.0,6.0,17.0,10.4,,67.4,161.5,aberporth,1947-06-01
1947.0,7.0,17.4,11.7,,52.8,158.9,aberporth,1947-07-01
1947.0,8.0,21.4,13.2,,20.2,278.3,aberporth,1947-08-01
1947.0,9.0,17.5,11.4,,69.5,130.1,aberporth,1947-09-01
1947.0,10.0,14.2,8.0,,29.9,136.9,aberporth,1947-10-01
